'-skip-logged'	'Download -skip-logged failed: '
'TracAddCommentMacro'	'OK!'
'TracAdsPanel'	'OK!'
'TracCAS'	'OK!'
'TracCaseInsensitiveWiki'	'OK!'
'TracCombineWiki'	'OK!'
'TracCondFields'	'OK!'
'TracCrystalXTheme'	'OK!'
'TracCtxtnavAdd'	'OK!'
'TracDatamoverPlugin'	'OK!'
'TracDateField'	'OK!'
'TracFakeUsername'	'OK!'
'TracFilenameSearch'	'OK!'
'TracGoogleAds'	'OK!'
'TracGoogleAnalytics'	'OK!'
'TracGoogleSearch'	'OK!'
'TracHTTPAuth'	'OK!'
'TracHackergotchi'	'OK!'
'TracHideVals'	'OK!'
'TracHierWiki'	'OK!'
'TracIMAPAuth'	'OK!'
'TracIncludeMacro'	'OK!'
'TracLDAPAuth'	'OK!'
'TracLineDiffMacro'	'OK!'
'TracMacroPost'	'OK!'
'TracMasterTickets'	'OK!'
'TracMyTickets'	'OK!'
'TracNavHider'	'OK!'
'TracNavPlus'	'OK!'
'TracNewsFlash'	'OK!'
'TracOhlohBadge'	'OK!'
'TracOpenIDDelegate'	'OK!'
'TracPaste'	"Download TracPaste failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'TracPermRedirect'	'OK!'
'TracPersonalReports'	'OK!'
'TracPrivateTickets'	'OK!'
'TracProjectMenu'	'OK!'
'TracPwAuth'	'OK!'
'TracPygments'	'OK!'
'TracRecaptchaPlugin'	'Download TracRecaptchaPlugin failed: None'
'TracRecaptchaRegister'	'Download TracRecaptchaRegister failed: None'
'TracRevtreeLogEnhancer'	'Download TracRevtreeLogEnhancer failed: None'
'TracRevtreeMergeEnhancer'	'Download TracRevtreeMergeEnhancer failed: None'
'TracRevtreeMergeInfoEnhancer'	'Download TracRevtreeMergeInfoEnhancer failed: None'
'TracRevtreePlugin'	'Download TracRevtreePlugin failed: None'
'TracRobotsTxt'	'OK!'
'TracSQLAlchemyBridge'	'pkgsys.setup_args failed: Unrecognized license: WTFPL'
'TracSelfDelete'	'OK!'
'TracServerDownMacro'	'OK!'
'TracShellExampleMacro'	'OK!'
'TracSimpleTicket'	'OK!'
'TracSiteWikiDefault'	'OK!'
'TracSpamFilter'	'Unpack TracSpamFilter failed: [Errno 21] Is a directory'
'TracTicketDelete'	'OK!'
'TracUnixGroups'	'OK!'
'TracWikiGoodies'	'Download TracWikiGoodies failed: None'
'TracWikiNotification'	'OK!'
'TracWikiRename'	'OK!'
'TracWikiTemplates'	'OK!'
'Traits'	'OK!'
'TraitsBackendQt'	'OK!'
'TraitsBackendWX'	'OK!'
'TraitsGUI'	'OK!'
'Transcluder'	'Download Transcluder failed: None'
'Translate Toolkit'	'Invalid name: None'
'TransmissionClient'	'OK!'
'Transolution'	'Download Transolution failed: None'
'Trellis'	'OK!'
'TurboCheetah'	'OK!'
'TurboClearsilver'	'OK!'
'TurboDjango'	'Download TurboDjango failed: None'
'TurboEntity'	'OK!'
'TurboFancyFlash'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TurboFeeds'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TurboFlot'	'Get package args failed: '
'TurboGears'	'OK!'
'TurboHtmlPy'	'OK!'
'TurboJinja'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TurboJson'	'OK!'
'TurboKid'	'OK!'
'TurboLucene'	'Get package args failed: ImportError: No module named turbogears'
'TurboLwebstring'	'OK!'
'TurboMail'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TurboSetup'	'Download TurboSetup failed: None'
'TurboTinyMCE'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TurboWebstring'	'OK!'
'TurboZSI'	'OK!'
'TurboZpt'	'Get package args failed: ImportError: No module named turbogears.finddata'
'TuxFighter'	'Download TuxFighter failed: None'
'Twisted'	'Download Twisted failed: MD5 validation failed for Twisted-8.1.0.tar.bz2; possible download problem?'
'Twisted Conch'	'Invalid name: None'
'Twisted Core'	'Invalid name: None'
'Twisted Flow'	'Invalid name: None'
'Twisted Lore'	'Invalid name: None'
'Twisted Mail'	'Invalid name: None'
'Twisted Names'	'Invalid name: None'
'Twisted News'	'Invalid name: None'
'Twisted Pair'	'Invalid name: None'
'Twisted Runner'	'Invalid name: None'
'Twisted Web'	'Invalid name: None'
'Twisted Words'	'Invalid name: None'
'Twisted-Goodies'	'OK!'
'TwistedSNMP'	'Download TwistedSNMP failed: None'
'Twitabit'	'OK!'
'UNKNOWN'	'Download UNKNOWN failed: None'
'UPCTools'	'Get package args failed: ImportError: No module named turbogears.finddata'
'USPP (Universal Serial Port Python) Library'	'Invalid name: None'
'UliPad'	'Download UliPad failed: None'
'Ultimate WebShots Converter for KDE'	'Invalid name: None'
'UnicodeBlockTokenizer'	'Download UnicodeBlockTokenizer failed: None'
'Unipath'	'OK!'
'UploadFu'	'OK!'
'Upraise'	'OK!'
'Utlimate WebShots Converter for KDE'	'Invalid name: None'
'Vertex'	'Get package args failed: ImportError: No module named epsilon'
'Vimes'	'Download Vimes failed: None'
'Vocasta'	'Download Vocasta failed: None'
'Voicent'	'Download Voicent failed: None'
'WApp'	'Download WApp failed: None'
'WB'	'OK!'
'WCatalog'	'Download WCatalog failed: None'
'WFront'	'OK!'
'WMI'	'pkgsys.setup_args failed: Unrecognized license: http://www.opensource.org/licenses/mit-license.php'
'WPServer'	'OK!'
'WSGIFilter'	"Download WSGIFilter failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'WSGIOverlay'	"Download WSGIOverlay failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'WSGIProfile'	'OK!'
'WSGIProxy'	'OK!'
'WSGIRemote'	"Download WSGIRemote failed: Can't download http://svn.pythonpaste.org/Paste/WSGIRemote/trunk: 404 Not Found"
'WSGIRewrite'	'OK!'
'WSGIServe'	'Download WSGIServe failed: None'
'WSGIUtils'	'OK!'
'WSSEAuth'	"Unpack WSSEAuth failed: [Errno 2] No such file or directory: '/var/www/localhost/htdocs/pypicache/downloads/0.1.1'"
'WTForm'	'pkgsys.setup_args failed: Unrecognized license: http://creativecommons.org/licenses/by-sa/3.0/'
'WTForms'	'OK!'
'WadcomBlog'	'OK!'
'Wah!Cade'	'Invalid name: None'
'WaitForIt'	'OK!'
'Wally'	'Download Wally failed: None'
'Wareweb'	'OK!'
'Web Modules'	'Invalid name: None'
'WebError'	'OK!'
'WebHelpers'	'OK!'
'WebOb'	'OK!'
'WebOrganiser'	'OK!'
'WebPython'	'Unpack WebPython failed: Unsupported archive type'
'WebStack'	'OK!'
'WebTK'	"Download WebTK failed: Can't download http://webtk.org/download/webtk-0.alpha1.tgz: 404 Not Found"
'WebTest'	'OK!'
'WebVal'	"process failed: Invalid package name: 'dev-python/webval-_alpha'"
'Webware'	'Unpack Webware failed: Unsupported archive type'
'Webware for Python'	'Invalid name: None'
'Werkzeug'	'OK!'
'WiPy'	'Download WiPy failed: None'
'WikiGateway'	'Download WikiGateway failed: None'
'WikiHaus'	'Download WikiHaus failed: None'
'WikiUp'	'OK!'
'WikklyText'	'OK!'
'WordPress Python Library'	'Invalid name: None'
'WordUtils'	'OK!'
'WorldMill'	'Get package args failed: ImportError: No module named Cython.Distutils'
'WuGeo'	'OK!'
'XMLGen'	'OK!'
'XMLLayout'	'OK!'
'XRCWidgets'	'Get package args failed: ImportError: No module named wx'
'XSLTemplates'	'OK!'
'XSLTools'	'OK!'
'XSV'	'Download XSV failed: [Errno ftp error] 425 Failed to establish connection.'
'XTemplate4Python'	'Download XTemplate4Python failed: Unexpected HTML page found at http://pyhacks.suddenthinks.com/misc/XTemplate4Python-0.1.0.tar.gz'
'Xapwrap'	'Get package args failed: ImportError: No module named epsilon.versions'
'XmlTestRunner'	'Download XmlTestRunner failed: None'
'YABT'	'pkgsys.setup_args failed: Unrecognized license: RPL'
'YDbf'	'OK!'
'Yapps2'	'Unpack Yapps2 failed: Unsupported archive type'
'Yapsy'	'OK!'
'Yarrow'	'Download Yarrow failed: '
'ZConfig'	'OK!'
'ZODB3'	'OK!'
'ZODB4'	'Download ZODB4 failed: None'
'ZOE'	'Unpack ZOE failed: Unsupported archive type'
'ZPTKit'	'OK!'
'ZPTPage'	'Download ZPTPage failed: None'
'ZSI'	'OK!'
'Zenoss-Plugins'	'OK!'
'Zephyr'	'Download Zephyr failed: Unexpected HTML page found at https://www.as.cmu.edu/~geek/transferables/Zephyr-6.3.tar.gz'
'ZestyParser'	'OK!'
'ZopeInterface'	'Download ZopeInterface failed: None'
'ZopeSkel'	'OK!'
'ZopeX3'	'Download ZopeX3 failed: None'
"abo's pysync"	'Invalid name: None'
'abstract.jwrotator'	'OK!'
'acme.sql'	'Download acme.sql failed'
'acute-dbapi'	'Download acute-dbapi failed'
'adapya'	'Download adapya failed'
'addhrefs'	'OK!'
'aditam.agent'	'OK!'
'aditam.core'	'OK!'
'aditam.server'	'OK!'
'adns-python'	'OK!'
'adodbapi'	'Download adodbapi failed'
'adol-Py'	'Download adol-Py failed'
'advpy'	'Download advpy failed'
'affinitic.recipe.fakezope2eggs'	'OK!'
'affinity'	'OK!'
'aggdraw'	'OK!'
'ahcm'	'OK!'
'ahocorasick'	'OK!'
'aio'	'Download aio failed'
'aipy'	'Unpack aipy failed'
'akadav'	'Download akadav failed'
'akismet'	'Download akismet failed'
'aksy'	'Unpack aksy failed'
'albatross'	'OK!'
'alchemist.audit'	'OK!'
'alchemist.security'	'OK!'
'alchemist.traversal'	'OK!'
'alchemist.ui'	'OK!'
'alea'	'OK!'
'alienbuild'	'OK!'
'allmydata-tahoe'	'OK!'
'alo-aes'	'OK!'
'alterootheme.busycity'	'OK!'
'alterootheme.intensesimplicity'	'OK!'
'alterootheme.lazydays'	'OK!'
'alterparagraphs'	'Get package args failed'
'altgraph'	'OK!'
'altpty'	'Download altpty failed'
'amplee'	'OK!'
'ampoule'	'Get package args failed'
'amqplib'	'OK!'
'analysis'	'OK!'
'annotater'	'OK!'
'anntools'	'OK!'
'anobii.api'	'OK!'
'antigravity'	'OK!'
'antiparser'	'Unpack antiparser failed'
'anysql'	'OK!'
'apachelog'	'OK!'
'apesmit'	'OK!'
'apple'	'OK!'
'appleremote.py'	'OK!'
'appscript'	'OK!'
'appwsgi'	'Download appwsgi failed'
'appy.pod'	'OK!'
'appy.shared'	'OK!'
'apricot'	'OK!'
'apycot'	'OK!'
'aquarium'	'OK!'
'archetypes.kss'	'OK!'
'archetypes.schemaextender'	'OK!'
'archgenxml'	'OK!'
'arcvback'	'Download arcvback failed'
'argparse'	'OK!'
'arkaiv'	'Download arkaiv failed'
'arnie'	'Download arnie failed'
'arrayterator'	'OK!'
'arubomu'	'Download arubomu failed'
'asfPY'	'Download asfPY failed'
'aspects'	'Download aspects failed'
'aspen'	'OK!'
'astLib'	'OK!'
'astng'	'Download astng failed'
'astrogrid'	'Download astrogrid failed'
'asym'	'Download asym failed'
'athenaCL'	'Get package args failed: '
'atlas'	'Download atlas failed: None'
'atocha'	'Download atocha failed'
'atomicpy'	'Download atomicpy failed'
'atomisator.db'	'OK!'
'atomisator.enhancers'	'OK!'
'atomisator.feed'	'OK!'
'atomisator.filters'	'OK!'
'atomisator.main'	'OK!'
'atomisator.parser'	'OK!'
'atomisator.readers'	'OK!'
'atomixlib'	'OK!'
'atomstorage'	'OK!'
'atropine'	'OK!'
'audio-convert-mod'	'Download audio-convert-mod failed'
'audioscrobblerws'	'OK!'
'auth-modules'	'OK!'
'authz-tools'	'Download authz-tools failed'
'autoconnect'	'Download autoconnect failed'
'autoimp'	'Download autoimp failed'
'autoinstall'	'OK!'
'autolog'	'Get package args failed'
'autoself'	'OK!'
'autumn'	'OK!'
'avc'	'OK!'
'b3'	'OK!'
'babtools-EXAMPLE'	"Get package args failed: IOError: [Errno 2] No such file or directory: 'Changelog.txt'"
'babtools-gentoo'	'OK!'
'babtools-gnutella'	'OK!'
'barrel'	'OK!'
'basemap'	'Get package args failed: ImportError: No module named numpy'
'basen'	'OK!'
'basicCAS'	'OK!'
'basicproperty'	'Download basicproperty failed: None'
'basketweaver'	'OK!'
'batchlib'	'Download batchlib failed: None'
'bayesnet'	'Get package args failed: ImportError: No module named graph'
'bazaarrecipe'	'OK!'
'bbfreeze'	'OK!'
'bbgun'	'OK!'
'bcrypt'	'Download bcrypt failed: None'
'bcx basic compile tool'	'Invalid name: None'
'bcx error check'	'Invalid name: None'
'bda.awstatsparser'	'OK!'
'bda.blogview'	'OK!'
'bda.contentproxy'	'OK!'
'bda.intellidatetime'	'OK!'
'bda.ldap'	'OK!'
'bda.resultduplexer'	'OK!'
'bday'	"Download bday failed: Can't download http://shortcircuit.net.au/~prologic/downloads/software/bday-0.6.2.tar.gz: 404 Not Found"
'bdec'	'Download bdec failed: '
'bdist-mpkg'	'OK!'
'beancount'	'Download beancount failed: None'
'beatbox'	'OK!'
'bebop.protocol'	'OK!'
'benri'	'OK!'
'benri.client'	'OK!'
'benterm'	'OK!'
'bestappever'	"Get package args failed: IOError: [Errno 2] No such file or directory: '/var/tmp/pypi/unpack/bestappever-0.1/CHANGES.txt'"
'betterprint'	'OK!'
'beyondskins.pyconbrasil2008'	'OK!'
'bibliograph.core'	'OK!'
'bibliograph.parsing'	'OK!'
'bibliograph.rendering'	'OK!'
'bicop'	'OK!'
'bicyclerepair'	'Download bicyclerepair failed: None'
'biopython'	'Download biopython failed: None'
'bitarray'	'OK!'
'bitbake'	'Download bitbake failed: None'
'bitsyblog'	'OK!'
'blamehangle'	'Download blamehangle failed: None'
'bliptv.reader'	"Get package args failed: IOError: [Errno 2] No such file or directory: 'CHANGES.txt'"
'blist'	'OK!'
'blobs'	'Download blobs failed: None'
'bondin'	'Download bondin failed: None'
'boo-box'	'OK!'
'boodebr'	'OK!'
'book'	'Download book failed: None'
'bookshelf'	'Download bookshelf failed: None'
'boolopt'	'OK!'
'bopen.recipe.libinc'	'OK!'
'borg.localrole'	'OK!'
'borg.project'	'OK!'
'borg.supergroup'	'OK!'
'boto'	'OK!'
'bots'	'Download bots failed: None'
'bouncy'	'Unpack bouncy failed: Unsupported archive type'
'bpython'	'OK!'
'brian'	'OK!'
'bricks'	'Download bricks failed: None'
'bridge'	'OK!'
'bruce'	'Get package args failed: ImportError: No module named pyglet'
'bsddb185'	'Get package args failed: '
'bsddb3'	'OK!'
'btponto'	'OK!'
'btsclient'	'Download btsclient failed: None'
'bug.gd'	'OK!'
'build'	'Download build failed: None'
'buildbot'	'OK!'
'buildit'	'Download buildit failed: None'
'buildout-script'	'OK!'
'buildout.eggtractor'	'OK!'
'buildutils'	'OK!'
'bundleman'	'OK!'
'buzhug'	'Download buzhug failed: None'
'byCycleCore'	'pkgsys.setup_args failed: Unrecognized license: Free For Home Use'
'byCycleTripPlanner'	'pkgsys.setup_args failed: Unrecognized license: Free For Home Use'
'byteplay'	"Get package args failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'bzero'	'Unpack bzero failed: Unsupported archive type'
'bzr'	'OK!'
'bzr-cia'	'Download bzr-cia failed: None'
'bzr-gtk'	'Download bzr-gtk failed: None'
'bzr-rebase'	'OK!'
'bzr-stats'	'Download bzr-stats failed: None'
'bzr-svn'	'OK!'
'cElementTree'	'OK!'
'calcore'	'OK!'
'calendrical'	'OK!'
'calibre'	'Download calibre failed: None'
'caltrain'	'OK!'
'can'	'OK!'
'captchaimage'	'OK!'
'cardutils'	'OK!'
'carnarvon'	'OK!'
'cassowarypy'	'Download cassowarypy failed: None'
'caxes'	'Download caxes failed: None'
'cc.buildout-reports'	'OK!'
'cc.gettext'	'OK!'
'cc.license'	'Download cc.license failed: None'
'cclib'	'OK!'
'ccrdf'	'OK!'
'cctagutils'	'OK!'
'cdat-lite'	'Get package args failed: ImportError: No module named numpy'
'ceODBC'	'OK!'
'cfgparse'	'OK!'
'cfgparse.py'	'Download cfgparse.py failed: None'
'cgi-app'	'OK!'
'cgi.unescape'	'OK!'
'cgnstk'	'OK!'
'chardb'	'Unpack chardb failed: [Errno 21] Is a directory'
'chardet'	'OK!'
'chattyparallel'	'OK!'
'check-megaraid'	'Download check-megaraid failed: None'
'checkboxtable'	'Download checkboxtable failed: None'
'checkers'	'OK!'
'checkselect'	'Get package args failed: ImportError: No module named turbogears.finddata'
'chessmind.core'	'OK!'
'chessmind.grok'	'OK!'
'chimera'	'OK!'
'chimera-python'	'OK!'
'chula'	'OK!'
'cisco-decrypt'	'OK!'
'ciscoconfparse'	'OK!'
'ckan'	'OK!'
'ckanclient'	'OK!'
'classix'	'OK!'
'classproperty'	'OK!'
'clearsilver'	'OK!'
'clee'	'OK!'
'cli'	'Download cli failed: None'
'clipartbrowser'	'OK!'
'clipboard-modifier'	'OK!'
'cliutils'	'OK!'
'clnum'	'Download clnum failed: None'
'clonedigger'	'OK!'
'cloud-wiki'	'Download cloud-wiki failed: None'
'cluster'	'OK!'
'cly'	'OK!'
'cmd2'	'OK!'
'cmdsyntax'	'OK!'
'cmemcache-hash'	'OK!'
'cmskekule'	'Download cmskekule failed: None'
'cns.recipe.maildrophost'	'OK!'
'cns.recipe.symlink'	'OK!'
'cns.recipe.zmysqlda'	'OK!'
'coards'	'OK!'
'cocos2d'	'OK!'
'codeblock'	'OK!'
'codehack'	'OK!'
'codehosting'	'OK!'
'codewrap'	'OK!'
'cogen'	'OK!'
'cogent'	'Download cogent failed: None'
'cogplanet'	'Download cogplanet failed: None'
'cola'	'Get package args failed: ImportError: No module named PyQt4.QtCore'
'collective.allowsearch'	'OK!'
'collective.allowtypes'	'OK!'
'collective.arboreal'	'OK!'
'collective.baseid'	'OK!'
'collective.beancounter'	'OK!'
'collective.blueprint.downloader'	'OK!'
'collective.blueprint.translationlinker'	'OK!'
'collective.bouncing'	'OK!'
'collective.buildbot'	'OK!'
'collective.captcha'	'OK!'
'collective.castle'	'OK!'
'collective.cmfskininspector'	'OK!'
'collective.contentleadimage'	'OK!'
'collective.dancefloor'	'OK!'
'collective.dancing'	"process failed: Invalid type being used as a value: 'EBUILD': '/usr/local/portage/dev-python/collective.dancing/collective.dancing-0.7.1.ebuild'"
'collective.dist'	'OK!'
'collective.dtwidget'	'OK!'
'collective.easytemplate'	"Get package args failed: IOError: [Errno 2] No such file or directory: 'CHANGES.txt'"
'collective.editskinswitcher'	'OK!'
'collective.eggproxy'	'OK!'
'collective.emaillogin'	'Download collective.emaillogin failed: None'
'collective.facetednavigation'	'Download collective.facetednavigation failed: None'
'collective.fancyzoomview'	'OK!'
'collective.flowplayer'	'OK!'
'collective.formcriteria'	'OK!'
'collective.formlib.link'	'OK!'
'collective.formwidget.uberselect'	'OK!'
'collective.gacontext'	'OK!'
'collective.indexing'	'OK!'
'collective.keywordcondition'	'OK!'
'collective.keywordwidgetreplacer'	'OK!'
'collective.kss.flygui'	"Get package args failed: IOError: [Errno 2] No such file or directory: 'docs/HISTORY.txt'"
'collective.kssinline'	'OK!'
'collective.kupuemoticons'	'OK!'
'collective.lead'	'OK!'
'collective.lorem'	'OK!'
'collective.namedblobfile'	'OK!'
'collective.namedfile'	'OK!'
'collective.navrootfield'	'OK!'
'collective.pfg.sslfield'	'OK!'
'collective.phantasy'	'OK!'
'collective.plone.gsxml'	'OK!'
'collective.ploneseltest'	'OK!'
'collective.plonetruegallery'	'OK!'
'collective.portlet.adsense'	'OK!'
'collective.portlet.amazon'	'OK!'
'collective.portlet.dropdownbox'	'OK!'
'collective.portlet.explore'	'OK!'
'collective.portlet.feedmixer'	'OK!'
'collective.portlet.image'	'OK!'
'collective.portlet.keywordmatches'	'OK!'
'collective.portlet.links'	'OK!'
'collective.portlet.paypal'	'OK!'
'collective.portlet.postit'	'OK!'
'collective.portlet.references'	'OK!'
'collective.portlet.rich'	'OK!'
'collective.portlet.skype'	'OK!'
'collective.portlet.tal'	'OK!'
'collective.portlet.usertrack'	'OK!'
'collective.portletpage'	'OK!'
'collective.psc.mirroring'	'OK!'
'collective.realestatebroker'	'OK!'
'collective.recipe.ant'	'OK!'
'collective.recipe.backup'	'OK!'
'collective.recipe.distutils'	'OK!'
'collective.recipe.filestorage'	'OK!'
'collective.recipe.linktally'	'OK!'
'collective.recipe.modwsgi'	'OK!'
'collective.recipe.mxbase'	'OK!'
'collective.recipe.mxodbc'	'OK!'
'collective.recipe.omelette'	'OK!'
'collective.recipe.scriptgen'	'OK!'
'collective.recipe.seleniumrc'	'OK!'
'collective.recipe.solrinstance'	'OK!'
'collective.recipe.sphinxbuilder'	'OK!'
'collective.recipe.supervisor'	'OK!'
'collective.recipe.template'	'OK!'
'collective.recipe.vimproject'	'OK!'
'collective.recipe.z2testrunner'	'OK!'
'collective.recipe.zcml'	'OK!'
'collective.recipe.zmysqlda'	'OK!'
'collective.recipe.zope2cluster'	'OK!'
'collective.releaser'	'OK!'
'collective.salesforce.authplugin'	'OK!'
'collective.salesforce.rsvp'	'OK!'
'collective.sectionsubskin'	'OK!'
'collective.singing'	'OK!'
'collective.testcaselayer'	'OK!'
'collective.testing'	'OK!'
'collective.uuid'	'OK!'
'collective.workflowed'	'OK!'
'collective.wtf'	'OK!'
'collective.z3cform.kss'	'OK!'
'colorname'	'OK!'
'compactpath'	'OK!'
'compare-locales'	'Download compare-locales failed: None'
'compress'	'Download compress failed: None'
'comtypes'	'Download comtypes failed: Unexpected HTML page found at https://comtypes.svn.sourceforge.net/svnroot/comtypes/#egg=comtypes-dev'
'conductance'	'OK!'
'config'	'OK!'
'configparse'	'OK!'
'configsaver'	'OK!'
'confparse'	'OK!'
'consensus'	'OK!'
'constraint'	'Download constraint failed: None'
'construct'	'OK!'
'contentratings'	'OK!'
'context-tools'	'OK!'
'contract'	'OK!'
'cookieauth'	"Download cookieauth failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'cornerstone.ui.result'	'OK!'
'coverage'	'OK!'
'cp.buildout-postgres'	'Download cp.buildout-postgres failed: None'
'cp.recipe.cmd'	'OK!'
'cpuspeedy'	'Unpack cpuspeedy failed: Unsupported archive type'
'crablfs'	'OK!'
'crcmod'	'Download crcmod failed: None'
'crunchyfrog'	'Get package args failed: '
'cryptlib-py'	'Download cryptlib-py failed: None'
'cryptobox-server'	'OK!'
'cryptopy'	'Download cryptopy failed: None'
'cs.tags'	'OK!'
'csnd'	'Download csnd failed: None'
'csound ifn parser'	'Invalid name: None'
'csound routines'	'Invalid name: None'
'css-scripts'	"Download css-scripts failed: Download error for http://guy.sikumuna.com/css-scripts.tar.gz: (-3, 'Temporary failure in name resolution')"
'cssrtl'	'Download cssrtl failed: None'
'cssutils'	'OK!'
'csv'	'Download csv failed: None'
'csvcat'	'OK!'
'csvdatamix'	'Download csvdatamix failed: None'
'csvutils'	'OK!'
'ctypes'	'Download ctypes failed: None'
'ctypes-configure'	'OK!'
'ctypeslib'	'Unpack ctypeslib failed: [Errno 21] Is a directory'
'cubictemp'	'OK!'
'curator'	'Download curator failed: None'
'currency.converter'	'OK!'
'curses-extra'	'Download curses-extra failed: None'
'cutils'	'Download cutils failed: None'
'cvsanaly'	'Download cvsanaly failed: None'
'cvsxxdiff'	'OK!'
'cvxopt'	'Unpack cvxopt failed: Unsupported archive type'
'cx-Freeze'	'OK!'
'cx-Logging'	'OK!'
'cx-Oracle'	'Get package args failed: '
'cx-PyGenLib'	'OK!'
'cx-bsdiff'	'Download cx-bsdiff failed: None'
'czechtile'	'Get package args failed: ImportError: No module named sneakylang'
'd2m.rendersource'	'OK!'
'd2m.wsgiapp'	'OK!'
'd9t.gis'	'OK!'
'daemon'	'OK!'
'daily-spent'	'OK!'
'dal'	'Download dal failed: None'
'dana'	'Download dana failed: None'
'dao'	'Download dao failed: None'
'dap'	'OK!'
'dap.plugins.compress'	'OK!'
'dap.plugins.gdal'	'OK!'
'dap.plugins.grads'	'OK!'
'dap.plugins.grib2'	'OK!'
'dap.plugins.hdf5'	'OK!'
'dap.plugins.matlab'	'OK!'
'dap.plugins.netcdf'	'OK!'
'dap.plugins.sql'	'OK!'
'dap.responses.ddx'	'OK!'
'dap.responses.html'	'OK!'
'dap.responses.json'	'OK!'
'dap.responses.wms'	'OK!'
'darcsver'	'OK!'
'dasty'	'OK!'
'database'	'Download database failed: None'
'dataflake.ldapconnection'	'OK!'
'dataurl'	"Download dataurl failed: Can't download http://nerdierthanthou.nfshost.com/dataurl/dataurl-1.0.zip: 404 Not Found"
'dateable.chronos'	'OK!'
'dateable.kalends'	'OK!'
'dateutil'	'OK!'
'davclient'	'OK!'
'daversy'	'OK!'
'dbclass'	'OK!'
'dbcook'	'Download dbcook failed: None'
'dbfpy'	'Download dbfpy failed: None'
'dbmigrate'	'OK!'
'dbo'	'OK!'
'dbobject'	"Download dbobject failed: Can't download http://dbobject.worldsinfinite.com/dbobject.tar.gz: 404 Not Found"
'dbsh'	'OK!'
'dbsql'	'pkgsys.setup_args failed: Unrecognized license: Freeware'
'dbstore'	'OK!'
'dbutil'	'Download dbutil failed: None'
'dbwrap'	'Download dbwrap failed: None'
'decimalfuncs'	'Download decimalfuncs failed: None'
'decorator'	'OK!'
'decoroute'	'Get package args failed: ImportError: No module named wsgistraw'
'deep'	'OK!'
'dejumble'	'OK!'
'delegate'	'OK!'
'delicious.py'	'Download delicious.py failed: None'
'delxml2html'	'Download delxml2html failed: None'
'deminaction'	"Download deminaction failed: Can't download http://cheeseshop.python.org/packages/source/d/deminaction/deminaction-0.2.tar.gz: 404 Not Found"
'demisaucepy'	'OK!'
'demjson'	'OK!'
'demset'	'OK!'
'depalma'	'OK!'
'desire'	'OK!'
'desktop'	'OK!'
'devtools'	'Download devtools failed: None'
'dez'	'OK!'
'dfa'	'OK!'
'diStorm64'	'Download diStorm64 failed: None'
'dia2mps'	'Download dia2mps failed: None'
'directio'	'OK!'
'director'	'pkgsys.setup_args failed: Unrecognized license: GPLv3+'
'dirmon'	'Download dirmon failed: None'
'dirstore'	'OK!'
'disc-tools'	'OK!'
'disthelper'	'OK!'
'distribute'	'Download distribute failed: None'
'diviMon'	'Download diviMon failed: None'
'dj-cmdbuild'	'OK!'
'djabberdjaw'	'OK!'
'django db_dump'	'Invalid name: None'
'django-assets'	'OK!'
'django-authopenid'	'OK!'
'django-batchadmin'	'OK!'
'django-cas'	'OK!'
'django-dbtemplates'	'OK!'
'django-dpaste'	"Download django-dpaste failed: Download error for http://pypi.python.org/packages/source/d/django-dpaste/django-dpaste-0.1.tar.gz: (110, 'Connection timed out')"
'django-forex'	"process failed: Invalid package name: 'dev-python/django_forex-_rc'"
'django-genshi'	'OK!'
'django-granular-permissions'	'OK!'
'django-jython'	"Download django-jython failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'django-links'	'OK!'
'django-localeurl'	'OK!'
'django-maintenancemode'	'OK!'
'django-mobileadmin'	'OK!'
'django-mptt'	'OK!'
'django-options'	"process failed: Invalid package name: 'dev-python/django_options-_rc'"
'django-pony'	'OK!'
'django-registration'	'OK!'
'django-renderform'	'OK!'
'django-reusableapps'	'OK!'
'django-robots'	'OK!'
'django-rstify'	'Get package args failed: ImportError: No module named roman'
'django-tables'	'OK!'
'django-templatesadmin'	'OK!'
'django-testmaker'	'OK!'
'django-tinymce'	'OK!'
'django-xappy'	'OK!'
'djangoinstall'	'Download djangoinstall failed: None'
'djangoratings'	'Download djangoratings failed: None'
'djangorecipe'	'OK!'
'djangosphinx'	'Download djangosphinx failed: None'
'djangregator'	'Download djangregator failed: None'
'dm.historical'	'OK!'
'dm.incrementalsearch'	'Get package args failed: '
'dm.pdb'	'OK!'
'dm.profile'	'OK!'
'dm.reuse'	'OK!'
'dm.sharedresource'	'OK!'
'dm.zdoc'	'OK!'
